,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
 Kimberlea Cloughley / Tommy Lee Jones,1946-9-15,-1,True,False,"
(30 May 1981            - 
23 March 1996) (    divorced) (    2 children)          ",Male,Female
 Kate Lardner / Tommy Lee Jones,1946-9-15,1943-1-14,True,False,"
(31 December 1971            - 
9 February 1978) (    divorced)          ",Male,Female
               Sibylle Szaggars          / Robert Redford,1936-8-18,-1,True,False,"
(11 July 2009            - 
present)          ",Male,-1
 Lola Van Wagenen / Robert Redford,1936-8-18,1938-12-19,True,False,"
(9 August 1958            - 
12 November 1985) (    divorced) (    4 children)          ",Male,Female
 Felicia Farr / Jack Lemmon,1925-2-8,1932-10-4,True,False,"
(17 August 1962            - 
27 June 2001) (    his death) (    1 child)          ",Male,Female
 Cynthia Stone / Jack Lemmon,1925-2-8,1926-2-26,True,False,"
(7 May 1950            - 
4 December 1956) (    divorced) (    1 child)          ",Male,Female
 Elaine Taylor / Christopher Plummer,1929-12-13,1943-10-17,True,False,"
(2 October 1970            - 
present)          ",Male,Female
 Patricia Lewis / Christopher Plummer,1929-12-13,-1,True,False,"
(4 May 1962            - 
10 January 1967) (    divorced)          ",Male,Female
 Tammy Grimes / Christopher Plummer,1929-12-13,1934-1-30,True,False,"
(19 August 1956            - 
2 September 1960) (    divorced) (    1 child)          ",Male,Female
 Trish Van Devere / George C. Scott,1927-10-18,1941-3-9,True,True,"
(14 September 1972            - 
22 September 1999) (    his death)          ",Male,Female
 Colleen Dewhurst / George C. Scott,1927-10-18,1924-6-3,True,False,"
(April 1961            - 
1965) (    divorced) (    2 children)          ",Male,Female
 Pat Scott / George C. Scott,1927-10-18,1934-3-1,True,False,"
(1 March 1955            - 
5 June 1960) (    divorced) (    2 children)          ",Male,Female
 Carolyn Hughes / George C. Scott,1927-10-18,-1,True,False,"
(30 August 1951            - 
1 January 1955) (    divorced) (    1 child)          ",Male,-1
 Georgianne Walken / Christopher Walken,1943-3-31,1944-2-8,True,False,"
(January 1969            - 
present)          ",Male,Female
 Amal Clooney / George Clooney,1961-5-6,1978-2-3,True,False,"
(27 September 2014            - 
present) (    2 children)          ",Male,Female
 Talia Balsam / George Clooney,1961-5-6,1959-3-5,True,False,"
(15 December 1989            - 
17 September 1993) (    divorced)          ",Male,Female
               Betsy Arakawa          / Gene Hackman,1930-1-30,-1,True,False,"
(December 1991            - 
present)          ",Male,-1
               Filipa (Faye) Maltese          / Gene Hackman,1930-1-30,-1,True,False,"
(1 January 1956            - 
1986) (    divorced) (    3 children)          ",Male,-1
 Emma Heming Willis / Bruce Willis,1955-3-19,1978-6-18,True,False,"
(21 March 2009            - 
present) (    2 children)          ",Male,Female
 Demi Moore / Bruce Willis,1955-3-19,1962-11-11,True,True,"
(21 November 1987            - 
18 October 2000) (    divorced) (    3 children)          ",Male,Female
 Micheline Roquebrune / Sean Connery,1930-8-25,1929-0-0,True,False,"
(6 May 1975            - 
present)          ",Male,Female
 Diane Cilento / Sean Connery,1930-8-25,1932-4-2,True,True,"
(6 December 1962            - 
6 September 1973) (    divorced) (    1 child)          ",Male,Female
 Danielle Spencer / Russell Crowe,1964-4-7,1969-5-16,True,False,"
(7 April 2003            - 
10 April 2018) (    divorced) (    2 children)          ",Male,Female
 Jennifer Butler / Bill Murray,1950-9-21,1966-5-11,True,False,"
(4 July 1997            - 
13 June 2008) (    divorced) (    4 children)          ",Male,Female
 Mickey Kelley / Bill Murray,1950-9-21,-1,True,False,"
(25 January 1981            - 
29 January 1994) (    divorced) (    2 children)          ",Male,-1
 Erika Koike / Nicolas Cage,1964-1-7,1984-0-0,True,False,"
(23 March 2019            - 
31 May 2019) (    divorced)          ",Male,-1
 Alice Kim Cage / Nicolas Cage,1964-1-7,1984-0-0,True,False,"
(30 July 2004            - 
2016) (    divorced) (    1 child)          ",Male,Female
 Lisa Marie Presley / Nicolas Cage,1964-1-7,1968-2-1,True,False,"
(10 August 2002            - 
16 May 2004) (    divorced)          ",Male,Female
 Patricia Arquette / Nicolas Cage,1964-1-7,1968-4-8,True,True,"
(8 April 1995            - 
18 May 2001) (    divorced)          ",Male,Female
 Claudia Haro / Joe Pesci,1943-2-9,-1,True,False,"
(7 September 1988            - 
1992) (    divorced) (    1 child)          ",Male,Female
               ?          / Joe Pesci,1943-2-9,-1,True,False,"
(1964            - 
?) (    divorced) (    1 child)          ",Male,-1
 Angelina Jolie / Brad Pitt,1963-12-18,1975-6-4,True,True,"
(14 August 2014            - 
present) (    filed for divorce) (    6 children)          ",Male,Female
 Jennifer Aniston / Brad Pitt,1963-12-18,1969-2-11,True,True,"
(29 July 2000            - 
2 October 2005) (    divorced)          ",Male,Female
 Christine Baumgartner / Kevin Costner,1955-1-18,1974-3-4,True,False,"
(25 September 2004            - 
present) (    3 children)          ",Male,Female
 Cindy Costner / Kevin Costner,1955-1-18,1956-10-29,True,False,"
(11 February 1978            - 
12 December 1994) (    divorced) (    3 children)          ",Male,Female
 Francine Racette / Donald Sutherland,1935-7-17,1947-9-23,True,False,"
(1972            - 
present) (    3 children)          ",Male,Female
 Shirley Douglas / Donald Sutherland,1935-7-17,1934-4-2,True,False,"
(1966            - 
1971) (    divorced) (    2 children)          ",Male,Female
 Lois Hardwick / Donald Sutherland,1935-7-17,1917-7-22,True,False,"
(1959            - 
1966) (    divorced)          ",Male,Female
 Dina Eastwood / Clint Eastwood,1930-5-31,1965-7-11,True,False,"
(31 March 1996            - 
22 December 2014) (    divorced) (    1 child)          ",Male,Female
               Margaret Neville Johnson          / Clint Eastwood,1930-5-31,-1,True,False,"
(19 December 1953            - 
19 November 1984) (    divorced) (    2 children)          ",Male,-1
 Catherine Zeta-Jones / Michael Douglas,1944-9-25,1969-9-25,True,True,"
(18 November 2000            - 
present) (    2 children)          ",Male,Female
 Diandra Luker / Michael Douglas,1944-9-25,1955-11-30,True,False,"
(20 March 1977            - 
1 June 2000) (    divorced) (    1 child)          ",Male,Female
 Susan Downey / Robert Downey Jr.,1965-4-4,1973-11-6,True,False,"
(27 August 2005            - 
present) (    2 children)          ",Male,Female
 Deborah Falconer / Robert Downey Jr.,1965-4-4,1965-8-13,True,False,"
(29 May 1992            - 
26 April 2004) (    divorced) (    1 child)          ",Male,Female
 Frank Sinatra / Ava Gardner,1922-12-24,1915-12-12,True,True,"
(7 November 1951            - 
5 July 1957) (    divorced)          ",Female,Male
 Artie Shaw / Ava Gardner,1922-12-24,1910-5-23,True,True,"
(17 October 1945            - 
25 October 1946) (    divorced)          ",Female,Male
 Mickey Rooney / Ava Gardner,1922-12-24,1920-9-23,True,True,"
(10 January 1942            - 
21 May 1943) (    divorced)          ",Female,Male
 Alan Greisman / Sally Field,1946-11-6,1947-9-4,True,False,"
(15 December 1984            - 
24 June 1994) (    divorced) (    1 child)          ",Female,Male
               Steven Craig          / Sally Field,1946-11-6,-1,True,False,"
(16 September 1968            - 
1 August 1975) (    divorced) (    2 children)          ",Female,-1
               Barry Comden          / Doris Day,1922-4-3,-1,True,False,"
(14 April 1976            - 
2 April 1982) (    divorced)          ",Female,-1
 Martin Melcher / Doris Day,1922-4-3,1915-8-1,True,False,"
(3 April 1951            - 
20 April 1968) (    his death)          ",Female,Male
 George Weidler / Doris Day,1922-4-3,1926-1-11,True,False,"
(30 March 1946            - 
31 May 1949) (    divorced)          ",Female,Male
               Albert Paul Jorden          / Doris Day,1922-4-3,-1,True,False,"
(17 April 1941            - 
8 February 1943) (    divorced) (    1 child)          ",Female,-1
 Steve Parker / Shirley MacLaine,1934-4-24,1922-2-6,True,False,"
(17 September 1954            - 
9 December 1982) (    divorced) (    1 child)          ",Female,Male
 Janusz Kaminski / Holly Hunter,1958-3-20,1959-6-27,True,True,"
(20 May 1995            - 
21 December 2001) (    divorced)          ",Female,Male
               Philip Schneider          / Hilary Swank,1974-7-30,-1,True,False,"
(18 August 2018            - 
present)          ",Female,-1
 Chad Lowe / Hilary Swank,1974-7-30,1968-1-15,True,False,"
(28 September 1997            - 
1 November 2007) (    divorced)          ",Female,Male
               Dr. Joel James Pressman          / Claudette Colbert,1903-9-13,-1,True,False,"
(24 December 1935            - 
26 February 1968) (    his death)          ",Female,-1
 Norman Foster / Claudette Colbert,1903-9-13,1903-12-13,True,False,"
(13 March 1928            - 
22 August 1935) (    divorced)          ",Female,Male
 Josh Brolin / Diane Lane,1965-1-22,1968-2-12,True,True,"
(15 August 2004            - 
27 November 2013) (    divorced)          ",Female,Male
 Christopher Lambert / Diane Lane,1965-1-22,1957-3-29,True,False,"
(29 October 1988            - 
1 March 1994) (    divorced) (    1 child)          ",Female,Male
               Francisco Paco Grande          / Jessica Lange,1949-4-20,-1,True,False,"
(29 July 1970            - 
1982) (    divorced)          ",Female,-1
 William Dufty / Gloria Swanson,1899-3-27,1916-2-2,True,False,"
(2 February 1976            - 
4 April 1983) (    her death)          ",Female,Male
               George William Davey          / Gloria Swanson,1899-3-27,-1,True,False,"
(29 January 1945            - 
28 December 1948) (    divorced)          ",Female,-1
 Michael Farmer / Gloria Swanson,1899-3-27,1902-5-9,True,False,"
(9 November 1931            - 
7 November 1934) (    divorced) (    1 child)          ",Female,Male
 Henri de la Falaise / Gloria Swanson,1899-3-27,1898-2-11,True,False,"
(29 January 1925            - 
9 November 1931) (    divorced)          ",Female,Male
               Herbert Klee Somborn          / Gloria Swanson,1899-3-27,-1,True,False,"
(20 December 1919            - 
9 August 1922) (    divorced) (    1 child)          ",Female,-1
 Wallace Beery / Gloria Swanson,1899-3-27,1885-4-1,True,True,"
(27 March 1916            - 
1 March 1919) (    divorced)          ",Female,Male
 Jason Robards / Lauren Bacall,1924-9-16,1922-7-26,True,True,"
(4 July 1961            - 
10 September 1969) (    divorced) (    1 child)          ",Female,Male
 Humphrey Bogart / Lauren Bacall,1924-9-16,1899-12-25,True,True,"
(21 May 1945            - 
14 January 1957) (    his death) (    2 children)          ",Female,Male
 Joel Coen / Frances McDormand,1957-6-23,1954-11-29,True,True,"
(1 April 1984            - 
present) (    1 child)          ",Female,Male
               Martin Arrouge          / Norma Shearer,1902-8-10,-1,True,False,"
(23 August 1942            - 
12 June 1983) (    her death)          ",Female,-1
 Irving Thalberg / Norma Shearer,1902-8-10,1899-5-30,True,False,"
(29 September 1927            - 
14 September 1936) (    his death) (    2 children)          ",Female,Male
 Martin von Haselberg / Bette Midler,1945-12-1,1949-1-20,True,False,"
(16 December 1984            - 
present) (    1 child)          ",Female,-1
 Robert Levine / Mary Tyler Moore,1936-12-29,1954-9-22,True,False,"
(23 November 1983            - 
25 January 2017) (    her death)          ",Female,Male
 Grant Tinker / Mary Tyler Moore,1936-12-29,1926-1-11,True,False,"
(1 June 1962            - 
11 June 1981) (    divorced)          ",Female,Male
               Richard Meeker          / Mary Tyler Moore,1936-12-29,-1,True,False,"
(25 August 1955            - 
23 February 1962) (    divorced) (    1 child)          ",Female,-1
 Goffredo Alessandrini / Anna Magnani,1908-3-7,1904-9-9,True,False,"
(1933            - 
1950)          ",Female,Male
 Michael Williams / Judi Dench,1934-12-9,1935-7-9,True,False,"
(5 February 1971            - 
11 January 2001) (    his death) (    1 child)          ",Female,Male
 Phil Bronstein / Sharon Stone,1958-3-10,1951-0-0,True,False,"
(14 February 1998            - 
29 January 2004) (    divorced) (    1 child)          ",Female,Male
 Michael Greenburg / Sharon Stone,1958-3-10,-1,True,False,"
(18 August 1984            - 
20 January 1987) (    divorced)          ",Female,Male
 Alec Baldwin / Kim Basinger,1953-12-8,1958-4-3,True,True,"
(19 August 1993            - 
3 September 2002) (    divorced) (    1 child)          ",Female,Male
 Ron Snyder / Kim Basinger,1953-12-8,1939-2-16,True,False,"
(12 October 1980            - 
20 December 1989) (    divorced)          ",Female,-1
               Roy Hodges          / Glenda Jackson,1936-5-9,-1,True,False,"
(1958            - 
26 January 1976) (    divorced) (    1 child)          ",Female,-1
 Grover Asmus / Donna Reed,1921-1-27,1926-1-2,True,False,"
(30 August 1974            - 
14 January 1986) (    her death)          ",Female,Male
 Tony Owen / Donna Reed,1921-1-27,1907-5-2,True,False,"
(15 June 1945            - 
1971) (    divorced) (    4 children)          ",Female,Male
 William Tuttle / Donna Reed,1921-1-27,1912-4-13,True,False,"
(30 January 1943            - 
8 January 1945) (    divorced)          ",Female,Male
 Ashton Kutcher / Demi Moore,1962-11-11,1978-2-7,True,False,"
(24 September 2005            - 
26 November 2013) (    divorced)          ",Female,Male
 Bruce Willis / Demi Moore,1962-11-11,1955-3-19,True,True,"
(21 November 1987            - 
18 October 2000) (    divorced) (    3 children)          ",Female,Male
 Freddy Moore / Demi Moore,1962-11-11,1950-7-19,True,False,"
(8 February 1980            - 
7 August 1985) (    divorced)          ",Female,Male
 Adam Shulman / Anne Hathaway,1982-11-12,1981-4-2,True,False,"
(29 September 2012            - 
present) (    2 children)          ",Female,Male
